"Training and Placement Cell, MANIT, BHOPAL",,,,,,,,,,,,,,,
Session 2024-25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Date,Recruiter,Offer Type,,,,,,,,,,,,,PKG (LPA)
,,,Civil,EE,ME,ECE,CSE,MDS,MME,Chem,B.Tech.,B.Arch.,B.Plan,TOTAL,
December 2024,MAQ Software,6M + FTE,,,,,5,,,,5,,,5,₹9.00
December 2024,Kantar,FTE,,,,,0,,,,0,,,0,₹7.30
December 2024,Varun Beverages,FTE,,1,2,,,,,,3,,,3,₹7.50
December 2024,Secure Meters,6M + FTE,,1,,,,,,1,2,,,2,₹5.00
December 2024,Avaada Group,FTE,3,2,0,1,,,,1,7,,,7,₹6.00
December 2024,ABG,FTE,3,0,4,,,,0,4,11,,,11,₹8.00
December 2024,CHIL,6M,,,,,0,,,,0,,,0,₹25.00
December 2024,L&T Finance,6M,,,,0,0,,,,0,,,0,
December 2024,Asahi India Glass Ltd,6M + FTE,,0,1,,,,,,1,,,1,₹5.50
December 2024,Ather Energy,6M + FTE,,0,0,1,,,,,1,,,1,₹12.00
December 2024,CCTech,6M + FTE,1,0,1,0,0,0,0,0,2,0,,2,₹10.00
December 2024,Hero Future Energy,FTE,,3,0,0,,0,,,3,,,3,₹7.50
December 2024,Decimal point Analytics,FTE,0,0,0,0,2,0,0,0,2,,,2,₹27.20
December 2024,Qubits Education,6M,0,2,0,2,0,0,,,4,,,4,₹7.50
December 2024,Azentio,6M,0,0,0,0,3,0,0,0,3,,,3,₹10.00
December 2024,Practo (BA),6M,,1,,1,,1,,,3,,,3,₹10.00
December 2024,TensorGo,6M,0,0,0,0,0,0,0,0,0,,,0,₹8.00
December 2024,Squadcast,6M,0,0,0,0,0,0,0,0,0,,,0,₹20.05
December 2024,Academor,6M,0,3,5,5,5,0,5,1,24,5,10,39,₹8.00
December 2024,Talent Trek,4M,1,1,5,3,1,,2,0,13,,9,22,₹8.00
December 2024,TechMatrix,6M + FTE,,,,,0,,,,0,,,0,₹5.00
January 2025,NBC Bearings,FTE,,,4,0,,,0,,4,,,4,₹5.80
January 2025,ICICI,FTE,1,3,5,1,1,0,0,1,12,,,12,₹11.40
January 2025,Tetrahedron,6M,,0,1,0,0,,,,1,,0,1,₹4.32
January 2025,Juniper Green Energy,6M,0,0,0,1,,,,,1,,,1,₹6.00
January 2025,ZL Technologies,FTE,0,1,0,0,0,0,,0,1,,,1,₹11.00
January 2025,njivani Group of Institutio,FTE,,,,,,,,,0,,,0,₹6.00
January 2025,Paribas India Solution Pvt.,6M,,0,,0,0,,,,0,,,0,₹6.00
January 2025,Applied Materials,FTE,,0,2,,,,,,2,,,2,₹11.28
January 2025,Junglee Games,FTE,0,0,0,1,0,2,0,0,3,,,3,₹15.00
January 2025,Namekart,6M,0,0,0,0,0,0,0,0,0,,,0,₹25.00
January 2025,Juspay,8M + FTE,0,0,0,0,0,0,0,0,0,,,0,₹27.00
January 2025,Ideametrics,6M + FTE,,,0,,,,0,,0,,,0,₹10.00
January 2025,Shipsy,6M,,0,,1,0,0,,,1,,,1,₹14.00
January 2025,Clearwater Analytics,6M,,,,1,0,,,,1,,,1,₹11.00
January 2025,Accolite,FTE,,,,0,1,,,,1,,,1,₹8.00
January 2025,ayananda Sagar Universit,FTE,,,,,,,,,0,,,0,₹7.20
January 2025,Techture,6M + FTE,0,0,0,,,,,,0,7,,7,₹4.50
January 2025,InfinityLearn,FTE,0,0,0,0,0,0,0,0,0,0,0,0,₹5.50
January 2025,SMCC,FTE,10,,,,,,,,10,,,10,₹5.50
January 2025,Rodic Consultant,FTE,2,,,,,,,,2,,,2,₹9.00
January 2025,Bakliwal Tutorials,FTE,0,0,1,0,0,0,0,0,1,,,1,₹6.00
February 2025,D&H Secheron,6M + FTE,,,0,,,,1,,1,,,1,₹6.00
February 2025,JK Lakshmi Cement,FTE,0,,,,,,,,0,,,0,₹7.50
February 2025,yaswal NECO Industries L,6M + FTE,,1,2,1,0,,2,,6,,,6,₹7.20
February 2025,Technip Energy,FTE,0,0,3,,,,,3,6,,,6,
February 2025,THOMSON DIGITAL,FTE,,,,,,,,,0,,,0,₹8.00
February 2025,JSW Group,FTE,,6,14,,,,17,5,42,,,42,₹8.50
February 2025,Aryaka Networks,6M + FTE,,,,,2,,,,2,,,2,₹15.19
February 2025,RazorPay,6M,,,,,2,,,,2,,,2,
February 2025,Atkins realis,6M + FTE,0,0,0,0,,,,0,0,,,0,₹6.22
February 2025,Johnson's Control,6M + FTE,,1,0,1,0,,,,2,,,2,₹8.50
February 2025,Sun Pharma,4M + PPO,,1,2,,,,,2,5,,,5,₹10.00
February 2025,Bosch,6M,,1,,,1,,,,2,,,2,
February 2025,Aarti Industries,FTE,,0,,,,,,3,3,,,3,₹6.80
February 2025,Jyesta Corporate Entity,6M + FTE,1,1,1,0,1,0,0,0,4,0,0,4,₹9.00
February 2025,ash Education Services Lim,FTE,0,0,0,0,0,0,0,0,0,,,0,₹12.00
February 2025,HCL Tech,FTE,,,,0,1,,,,1,,,1,₹12.00
February 2025,Pradan,FTE,0,0,0,0,0,,0,0,0,0,1,1,₹8.64
February 2025,Adani,FTE,7,2,15,,,,0,2,26,,,26,₹6.50
February 2025,Tata Consulting Enginee,FTE,0,0,1,,0,,0,0,1,0,,1,₹5.00
February 2025,SYGNIFIC CAREER,FTE,,,,,,,,,0,,,0,₹4.00
February 2025,Park+,6M,0,0,0,0,2,0,0,0,2,,,2,₹22.00
February 2025,Toshiba,6M,,,,0,2,,,,2,,,2,₹10.00
March 2025,AM/NS,FTE,,,6,,,,2,,8,,,8,₹8.50
